216584	208431
217846	242270
209851	224081
218930	225746
220071	223506
212617	242151
214618	225509
214313	233953
215789	214974
216939	229729
233374	218299
210222	196275
216470	212654
227318	232107
232830	235555
218447	233970
226925	225378
203959	219403
221846	221006
230240	234047
226261	233141
198806	234836
202820	249026
215144	232600
209633	205862
213143	239913
222839	212720
226632	202802
211582	225524
230336	222722
218458	229909
230370	207446
254718	219518
220360	218107
195662	205455
211486	242200
220310	247075
233455	197421
220061	216414
203338	218385
195679	233208
216352	245183
216574	246430
224014	217262
210933	220553
220675	223597
239223	228138
209695	224087
236649	222179
231108	236519
218789	241613
244642	216540
214508	240165
247419	204196
211379	207272
235100	203030
221065	193952
214227	230225
235879	222240
222987	244715
224131	215108
228729	213548
209241	225115
230292	222869
212093	251261
211600	202700
231270	227246
233268	226799
232822	198829
226372	214036
223927	238051
233752	215966
229643	213382
217652	218622
218788	241864
203476	209199
211450	222773
217584	222356
211463	221912
206264	222096
223091	218547
215485	213594
219519	238605
221082	214031
236809	223085
221497	214601
204041	246781
193597	216760
208629	235112
216487	236458
221044	230793
228531	224197
226504	210584
205330	230018
238612	224029
218708	218742
232478	217114
222802	212819
199886	226692
227140	233536
206673	240139
214257	221703
240539	228359
216681	207178
237185	201850
210301	217549
211903	243142
201483	211720
219825	215416
227368	229579
228502	225263
228253	213609
204877	229136
235425	222944
230338	208101
195436	198257
218680	214455
223553	220238
229630	245803
218601	232215
226891	227169
209885	235918
209749	230371
215956	221770
217597	216279
203678	239319
217133	213780
237387	245386
231594	239052
226295	206715
219355	216162
218382	228318
205913	213480
219343	212053
219554	207936
219682	227160
239470	199468
233120	201702
202391	196246
226564	231382
218616	220094
214849	226424
218902	218930
216462	225435
216650	231187
223117	233151
219682	229435
244926	207042
189417	219057
212802	238307
227983	225408
212634	235512
220287	219466
221907	225762
235639	206958
256012	217600
234245	204771
214762	225898
226371	210269
219287	213409
225793	211192
213470	229115
215239	217421
235557	231424
196343	216002
209382	222769
195441	220393
236447	226454
215104	210646
210181	251913
232861	239209
213269	238369
224737	210114
220408	211394
208014	225568
231202	218217
228106	250318
207642	222615
226271	228590
244850	219228
220171	219104
232444	209073
224573	207550
235260	226551
212536	227365
203595	221392
213838	211339
205352	244208
209865	186450
208600	221817
217344	233222
240334	222258
226590	215025
205219	222922
212262	231845
232686	206045
229205	232207
196493	237409
222026	223739
231108	222986
213460	242367
217465	246118
225131	220425
220992	236206
238455	205015
225703	211281
205341	207883
239409	212421
228876	254685
230568	219880
240836	225768
214285	219640
213227	240397
234129	204650
226147	225015
218707	223504
261965	234060
197109	231486
229716	197921
218445	212218
215019	239183
233495	249357
226882	225436
208024	190538
199032	221531
223828	246298
232718	203074
219060	230211
211841	229254
220713	215207
227188	221231
243417	197712
224624	228940
216749	246811
219239	225027
218776	218921
228714	219303
215292	227983
220582	229312
240951	222971
222215	216164
223473	231503
220760	227720
208029	227007
218267	241673
217779	247644
219911	224037
220310	206565
230196	236534
215024	213987
210764	226503
214343	213854
231529	203706
204262	227263
231754	227905
